Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
0,Budapest-Keleti,,,22:50,22:50,7,not passed
5,Kőbánya felső,22:55,22:57,22:56,22:58,1,not passed
8,Rákos,23:00,23:02,23:01,23:03,4,not passed
14,Rákoshegy,23:07,23:09,23:08,23:10,3,not passed
18,Rákoskert,23:11,23:13,23:12,23:14,2,not passed
20,Ecser,23:14,23:16,23:15,23:17,2,not passed
23,Maglód,23:17,23:20,23:18,23:21,4,not passed
25,Maglódi nyaraló,23:20,23:23,23:21,23:23,2,not passed
27,Gyömrő,23:23,23:26,23:24,23:26,2,not passed
30,Mende,23:27,23:30,23:28,23:30,4,not passed
33,Pusztaszentistván,23:30,23:33,23:31,23:33,2,not passed
38,Sülysáp,23:35,23:38,23:36,23:38,4,not passed
40,Szőlősnyaraló,23:38,23:41,23:39,23:41,2,not passed
45,Tápiószecső,23:43,23:45,23:44,23:46,4,not passed
50,Szentmártonkáta,23:48,23:50,23:49,23:51,2,not passed
55,Nagykáta,23:53,23:56,23:56,00:03,2,not passed
61,Tápiószentmárton,00:03,00:13,00:04,00:13,2,not passed
65,Farmos,00:09,00:17,00:10,00:18,2,not passed
68,Tápiószele,00:14,00:14,00:15,00:15,3,not passed
74,Tápiógyörgye,00:21,00:21,00:22,00:22,4,not passed
84,Újszász,00:31,00:31,00:32,00:32,4,not passed
89,Zagyvarékas,00:37,00:37,00:38,00:38,2,not passed
100,Szolnok,00:48,00:48,,,13,not passed
