Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
10,Kismacs,22:58,22:58,22:59,22:59,-,not passed
12,Macs Ipari Park mh.,23:01,23:01,23:01,23:02,-,not passed
19,Nagyhát,23:09,23:08,23:09,23:09,-,not passed
27,Balmazújváros,23:20,23:20,23:21,23:22,3,not passed
36,Kónya,23:28,23:29,23:29,23:29,-,not passed
42,Hortobágy,23:35,23:35,23:36,23:36,2,not passed
49,Hortobágyi Halastó,23:47,23:47,23:48,23:48,-,not passed
58,Ohat-Pusztakócs,00:02,00:01,00:03,00:03,2,not passed
63,Egyek,00:09,00:08,00:10,00:10,3,not passed
73,Tiszafüred,00:21,00:21,,,3,not passed
