Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
0,Miskolc-Tiszai,,,23:10,00:01,8,not passed
5,Felsőzsolca,23:15,00:07,23:16,00:08,2,not passed
15,Hernádnémeti-Bőcs,23:23,00:16,23:24,00:17,3,not passed
20,Tiszalúc,23:28,23:28,23:29,23:29,1,not passed
29,Taktaharkány,23:36,23:36,23:37,23:37,2,not passed
32,Taktaszada,23:39,23:39,23:40,23:40,1,not passed
38,Szerencs,23:46,23:46,23:53,23:53,3,not passed
43,Mezőzombor,23:57,23:57,23:58,23:58,1,not passed
50,Tarcal,00:04,00:04,00:05,00:05,4,not passed
56,Tokaj,00:10,00:10,00:11,00:11,3,not passed
62,Rakamaz,00:16,00:16,00:17,00:17,3,not passed
69,Virányos,00:23,00:23,00:24,00:24,mh,not passed
72,Görögszállás,00:28,00:28,00:29,00:29,3,not passed
78,Nyírtelek,00:34,00:34,00:35,00:35,3,not passed
81,Füzesbokor,00:38,00:38,00:39,00:39,mh,not passed
88,Nyíregyháza,00:45,00:45,,,2,not passed
