Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
0,Budapest-Déli,,,22:25,22:28,7,not passed
4,Budapest-Kelenföld,22:31,22:35,22:32,22:38,10,not passed
10,Budaörs,22:36,22:43,22:37,22:44,3,not passed
14,Törökbálint,22:40,22:47,22:40,22:47,2,not passed
22,Biatorbágy,22:44,22:51,22:45,22:52,4,not passed
29,Herceghalom,22:49,22:56,22:50,22:57,3,not passed
37,Bicske alsó,22:55,23:01,22:55,23:01,2,not passed
39,Bicske,22:57,23:04,22:58,23:04,4,not passed
46,Szár,23:02,23:08,23:02,23:09,2,not passed
51,Szárliget,23:05,23:12,23:06,23:12,5,not passed
59,Alsógalla,23:11,23:17,23:11,23:17,2,not passed
64,Tatabánya,23:16,23:21,23:17,23:22,3,not passed
67,Vértesszőlős,23:20,23:25,23:20,23:25,2,not passed
71,Tóvároskert,23:23,23:28,23:23,23:28,2,not passed
74,Tata,23:25,23:31,23:26,23:31,5,not passed
83,Almásfüzitő,23:33,23:36,23:34,23:37,4,not passed
86,Almásfüzitő felső,23:38,23:42,23:39,23:43,1,not passed
89,Szőny,23:41,23:46,23:41,23:47,2,not passed
94,Komárom,23:46,23:50,23:47,23:51,3,not passed
103,Ács,23:52,23:56,23:53,23:57,6,not passed
113,Nagyszentjános,23:58,00:06,23:59,00:06,2,not passed
123,Győrszentiván,00:04,00:11,00:04,00:12,3,not passed
129,Győr-Gyárváros,00:08,00:15,00:08,00:16,3,not passed
131,Győr,00:13,00:13,,,3,not passed
