Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
8,Apafa,22:54,22:54,22:55,22:55,3,not passed
14,Dombostanya,23:03,23:03,23:03,23:03,-,not passed
18,Hajdúsámson,23:09,23:09,23:10,23:10,2,not passed
22,Tamásipuszta,23:15,23:15,23:15,23:15,-,not passed
27,Aradványpuszta,23:21,23:22,23:22,23:22,-,not passed
33,Nyíradony,23:30,23:30,23:31,23:31,3,not passed
39,Nyírmihálydi,23:39,23:38,23:39,23:39,-,not passed
42,Nyírgelse,23:42,23:43,23:43,23:43,3,not passed
50,Nyírbogát,23:53,23:53,23:53,23:53,-,not passed
58,Nyírbátor,00:03,00:03,00:04,00:04,3,not passed
63,Nyírcsászári,00:09,00:09,00:10,00:10,mh,not passed
67,Hodász,00:14,00:14,00:15,00:15,2,not passed
72,Nyírmeggyes,00:19,00:19,00:20,00:20,-,not passed
78,Mátészalka,00:27,00:27,,,1b,not passed
