Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
9,Budafok,00:32,00:32,00:32,00:32,1,not passed
12,Budatétény,00:35,00:35,00:35,00:35,2,not passed
14,Barosstelep,00:38,00:38,00:38,00:38,2,not passed
19,Érdliget,00:42,00:42,00:42,00:42,2,not passed
20,Érd felső,00:44,00:44,00:44,00:44,2,not passed
24,Tárnok,00:48,00:48,00:49,00:49,2,not passed
33,Martonvásár,00:54,00:54,00:55,00:55,3,not passed
36,Baracska,00:58,00:58,00:59,00:59,2,not passed
41,Pettend,01:02,01:02,01:02,01:02,2,not passed
44,Kápolnásnyék,01:04,01:04,01:05,01:05,2,not passed
47,Velence,01:08,01:08,01:08,01:08,2,not passed
48,Velencefürdő,01:10,01:10,01:10,01:10,2,not passed
50,Gárdony,01:12,01:12,01:13,01:13,3,not passed
52,Agárd,01:14,01:14,01:15,01:15,2,not passed
56,Dinnyés,01:19,01:19,01:19,01:19,2,not passed
67,Székesfehérvár,01:30,01:30,,,4,not passed
