Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
7,Angyalföld,00:35,00:35,00:36,00:36,2,not passed
8,Újpest,00:38,00:38,00:38,00:38,2,not passed
10,Aquincum,00:41,00:41,00:42,00:42,1,not passed
12,Óbuda,00:43,00:43,00:44,00:44,3,not passed
13,Aranyvölgy,00:45,00:45,00:45,00:45,1,not passed
14,Üröm,00:47,00:47,00:47,00:47,1,not passed
19,Solymár,00:50,00:50,00:51,00:51,2,not passed
21,Szélhegy,00:53,00:53,00:53,00:53,1,not passed
22,Vörösvárbánya,00:55,00:55,00:55,00:55,1,not passed
23,Pilisvörösvár,00:57,00:57,00:58,00:58,1,not passed
25,Szabadságliget,01:00,01:00,01:00,01:00,mh,not passed
31,Klotildliget,01:07,01:07,01:07,01:07,mh,not passed
32,Piliscsaba,01:09,01:09,01:10,01:10,3,not passed
34,Magdolnavölgy,01:12,01:12,01:12,01:12,mh,not passed
36,Pilisjászfalu,01:14,01:14,01:15,01:15,mh,not passed
39,Piliscsév,01:18,01:18,01:18,01:18,mh,not passed
41,Leányvár,01:20,01:20,01:21,01:21,2,not passed
46,Dorog,01:25,01:25,01:26,01:26,3,not passed
49,Esztergom-Kertváros,01:29,01:29,01:30,01:30,1,not passed
53,Esztergom,01:35,01:35,,,1,not passed
