Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
8,Fényes,22:52,23:06,22:52,23:06,-,not passed
16,Gyula,22:59,23:14,23:00,23:15,3,not passed
23,József Szanatórium,23:09,23:25,23:09,23:25,-,not passed
28,Sarkadi Cukorgyár,23:15,23:31,23:15,23:31,-,not passed
29,Sarkad,23:18,23:33,23:19,23:34,3,not passed
36,Kötegyán,23:26,23:41,23:34,23:45,4,not passed
39,Méhkerék,23:39,23:55,23:39,23:55,-,not passed
45,Sarkadkeresztúr,23:48,00:04,23:48,00:04,-,not passed
56,Okány,00:01,00:16,00:02,00:17,3,not passed
64,Vésztő,00:13,00:13,,,4,not passed
