Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
39,Máriabesnyő,22:30,22:32,22:30,22:32,2,not passed
49,Bag,22:37,22:39,22:37,22:39,2,not passed
51,Aszód,22:39,22:43,22:40,22:44,4,not passed
59,Tura,22:45,22:50,22:45,22:51,2,not passed
67,Hatvan,22:52,22:58,22:59,22:59,4,not passed
87,Vámosgyörk,23:13,23:13,23:14,23:15,1,not passed
91,Adács,23:18,23:18,23:18,23:19,A,not passed
97,Karácsond,23:23,23:23,23:23,23:23,A,not passed
101,Ludas,23:27,23:27,23:28,23:28,3,not passed
106,Nagyút,23:33,23:33,23:34,23:34,1,not passed
113,Kál-Kápolna,23:39,23:39,23:40,23:41,3,not passed
125,Füzesabony,23:48,23:49,23:49,23:50,3,not passed
138,Mezőkövesd,23:58,23:59,23:59,23:59,3,not passed
169,Nyékládháza,00:21,00:18,00:22,00:22,3,not passed
182,Miskolc-Tiszai,00:32,00:32,,,6,not passed
