Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
,Szépvölgyi út H,00:25,00:25,00:25,00:25,A,not passed
,Tímár utca H,00:27,00:27,00:27,00:27,A,not passed
,Szentlélek tér H,00:29,00:29,00:29,00:29,A,not passed
,Filatorigát H,00:31,00:31,00:31,00:31,A,not passed
,Kaszásdűlő H,00:33,00:33,00:33,00:33,A,not passed
,Aquincum H,00:35,00:35,00:35,00:35,A,not passed
,Rómaifürdő H,00:37,00:37,00:37,00:37,A,not passed
,Csillaghegy H,00:39,00:39,00:39,00:39,A,not passed
,Békásmegyer H,00:42,00:42,00:43,00:43,1,not passed
,Budakalász H,00:46,00:46,00:46,00:46,3,not passed
,"Budakalász, Lenfonó H",00:48,00:48,00:48,00:48,A,not passed
,Szentistvántelep H,00:50,00:50,00:50,00:50,A,not passed
,Pomáz H,00:52,00:52,00:53,00:53,3,not passed
,Pannóniatelep H,00:57,00:57,00:57,00:57,A,not passed
,Szentendre H,01:00,01:00,,,3,not passed
