Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
,Wien Hbf,,,16:42,16:42,-,not passed
0,Hegyeshalom,17:25,18:12,17:28,18:15,3,not passed
11,Mosonmagyaróvár,17:35,18:22,17:36,18:24,4,not passed
47,Győr,17:54,18:44,17:56,18:46,3,not passed
114,Tatabánya,18:29,19:32,18:30,19:33,4,not passed
174,Budapest-Kelenföld,19:02,20:07,19:04,20:08,14,not passed
187,Budapest-Keleti,19:19,20:26,19:40,20:40,1,not passed
287,Szolnok,21:01,22:08,21:06,22:09,8,not passed
364,Püspökladány,21:52,22:59,21:53,23:01,3,not passed
388,Hajdúszoboszló,22:08,23:14,22:09,23:15,3,not passed
408,Debrecen,22:23,23:28,22:25,23:30,8,not passed
457,Nyíregyháza,22:56,00:02,22:57,00:03,2,not passed
484,Demecser,23:17,23:17,23:18,23:18,4,not passed
500,Kisvárda,23:29,23:29,23:30,23:30,2,not passed
523,Záhony,23:48,23:48,01:08,01:08,"é. 4
                      i. 5",not passed
,Chop,02:28,02:28,,,-,not passed
