Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
16,Újszász,22:34,22:35,22:35,22:36,3,not passed
26,Tápiógyörgye,22:44,22:44,22:45,22:45,3,not passed
32,Tápiószele,22:51,22:51,22:52,22:52,4,not passed
35,Farmos,22:56,22:56,22:57,22:57,1,not passed
39,Tápiószentmárton,23:02,23:02,23:03,23:03,1,not passed
45,Nagykáta,23:10,23:11,23:11,23:11,2,not passed
50,Szentmártonkáta,23:15,23:15,23:16,23:16,1,not passed
55,Tápiószecső,23:20,23:20,23:21,23:21,3,not passed
60,Szőlősnyaraló,23:25,23:25,23:26,23:26,1,not passed
62,Sülysáp,23:28,23:29,23:29,23:29,3,not passed
67,Pusztaszentistván,23:33,23:33,23:34,23:34,1,not passed
70,Mende,23:36,23:37,23:37,23:38,3,not passed
73,Gyömrő,23:40,23:41,23:41,23:41,1,not passed
75,Maglódi nyaraló,23:43,23:44,23:44,23:44,1,not passed
77,Maglód,23:46,23:47,23:47,23:47,3,not passed
80,Ecser,23:49,23:50,23:50,23:51,2,not passed
82,Rákoskert,23:52,23:53,23:53,23:54,2,not passed
86,Rákoshegy,23:56,23:58,23:57,23:58,3,not passed
92,Rákos,00:03,00:04,00:04,00:05,3,not passed
95,Kőbánya felső,00:08,00:09,00:09,00:10,2,not passed
100,Budapest-Keleti,00:15,00:15,,,8,not passed
