Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
18,Tétényliget,22:56,22:57,22:56,22:58,2,not passed
20,Érd alsó,22:59,23:00,22:59,23:01,2,not passed
24,Tárnok,23:02,23:04,23:03,23:05,2,not passed
33,Martonvásár,23:09,23:11,23:10,23:11,3,not passed
36,Baracska,23:12,23:14,23:13,23:15,2,not passed
44,Kápolnásnyék,23:18,23:20,23:19,23:22,2,not passed
47,Velence,23:22,23:25,23:22,23:26,2,not passed
67,Székesfehérvár,23:37,23:38,23:40,23:40,4,not passed
90,Várpalota,23:59,23:57,00:00,00:00,3,not passed
94,Pétfürdő,00:04,00:05,00:05,00:05,3,not passed
98,Öskü,00:09,00:09,00:09,00:09,-,not passed
104,Hajmáskér,00:14,00:15,00:15,00:15,2,not passed
112,Veszprém,00:23,00:23,,,VI,not passed
