Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
0,"Szeged, Bécsi körút",23:26,23:26,23:26,23:27,-,not passed
1,"Szeged, Aradi vértanúk tere",23:28,23:28,23:28,23:29,-,not passed
1,"Szeged, Somogyi utca",23:29,23:30,23:29,23:30,-,not passed
1,"Szeged, Széchenyi tér",23:31,23:31,23:31,23:32,-,not passed
2,"Szeged, Anna-kút",23:33,23:34,23:33,23:35,-,not passed
2,"Szeged, Rókusi templom",23:35,23:37,23:35,23:37,-,not passed
3,"Szeged, Tavasz utca",23:36,23:36,23:36,23:36,-,not passed
3,"Szeged, Damjanich utca",23:37,23:38,23:37,23:38,-,not passed
4,"Szeged, Vásárhelyi Pál utca",23:39,23:39,23:39,23:40,-,not passed
4,"Szeged, Pulz utca",23:40,23:40,23:40,23:40,-,not passed
9,"Szeged, Rókus vasútállomás",23:41,23:43,23:44,23:45,-,not passed
18,Algyő,23:54,23:56,23:55,23:57,3,not passed
31,Hódmezővásárhelyi Népkert vasú,00:05,00:05,00:06,00:06,-,not passed
31,"Hódmezővásárhely, Strandfürdő",00:07,00:07,00:07,00:07,-,not passed
32,"Hódmezővásárhely, Hősök tere",00:09,00:08,00:09,00:09,-,not passed
32,"Hódmezővásárhely, Kossuth tér",00:11,00:11,00:11,00:11,-,not passed
33,"Hódmezővásárhely, Kálvin János",00:13,00:13,00:13,00:14,-,not passed
34,Hódmezővásárhely vasútállomás,00:16,00:16,,,-,not passed
