Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
10,Budaörs,23:36,23:38,23:37,23:39,3,not passed
14,Törökbálint,23:40,23:41,23:40,23:42,2,not passed
22,Biatorbágy,23:44,23:46,23:45,23:46,4,not passed
29,Herceghalom,23:49,23:50,23:50,23:51,3,not passed
37,Bicske alsó,23:55,23:55,23:55,23:55,2,not passed
39,Bicske,23:57,23:57,23:58,23:58,4,not passed
46,Szár,00:02,00:02,00:02,00:02,2,not passed
51,Szárliget,00:05,00:05,00:06,00:05,5,not passed
59,Alsógalla,00:11,00:11,00:11,00:11,2,not passed
64,Tatabánya,00:16,00:14,00:17,00:18,3,not passed
67,Vértesszőlős,00:20,00:20,00:20,00:20,2,not passed
71,Tóvároskert,00:23,00:23,00:23,00:23,2,not passed
74,Tata,00:25,00:25,00:26,00:26,5,not passed
83,Almásfüzitő,00:33,00:33,00:34,00:34,4,not passed
86,Almásfüzitő felső,00:38,00:38,00:39,00:39,1,not passed
89,Szőny,00:41,00:41,00:41,00:41,2,not passed
94,Komárom,00:46,00:46,00:47,00:47,3,not passed
103,Ács,00:52,00:52,00:53,00:53,6,not passed
113,Nagyszentjános,00:58,00:58,00:59,00:59,2,not passed
123,Győrszentiván,01:04,01:04,01:04,01:04,3,not passed
129,Győr-Gyárváros,01:08,01:08,01:08,01:08,3,not passed
131,Győr,01:13,01:13,,,7,not passed
