Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
8,Kőbánya alsó,22:11,22:12,22:12,22:13,2,not passed
11,Kőbánya-Kispest,22:16,22:18,22:17,22:19,4,not passed
18,Ferihegy,22:22,22:24,22:23,22:24,2,not passed
38,Monor,22:36,22:36,22:37,22:37,4,not passed
44,Monorierdő,22:42,22:41,22:43,22:42,2,not passed
48,Pilis,22:46,22:46,22:47,22:47,3,not passed
55,Albertirsa,22:53,22:53,22:54,22:55,4,not passed
60,Ceglédbercel,22:58,22:59,22:59,23:00,2,not passed
62,Ceglédbercel-Cserő,23:01,23:03,23:02,23:03,2,not passed
66,Budai út,23:05,23:06,23:06,23:07,2,not passed
73,Cegléd,23:12,23:12,23:13,23:15,4,not passed
84,Nyársapát,23:22,23:22,23:23,23:24,3,not passed
91,Nagykőrös,23:29,23:31,23:30,23:31,2,not passed
106,Kecskemét,23:42,23:43,23:43,23:44,3,not passed
118,Városföld,23:51,23:52,23:52,23:53,2,not passed
131,Kiskunfélegyháza,24:00,00:04,00:01,00:05,3,not passed
160,Kistelek,00:20,00:20,00:21,00:21,3,not passed
175,Szatymaz,00:31,00:31,00:32,00:32,3,not passed
191,Szeged,00:47,00:47,,,1,not passed
