Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
0,Budapest-Nyugati,,,22:25,22:25,9,not passed
5,Zugló,22:31,22:31,22:32,22:32,2,not passed
11,Kőbánya-Kispest,22:40,22:42,22:41,22:43,4,not passed
18,Ferihegy,22:47,22:47,22:48,22:48,2,not passed
38,Monor,23:01,23:09,23:02,23:10,3,not passed
48,Pilis,23:09,23:19,23:10,23:20,3,not passed
55,Albertirsa,23:15,23:25,23:16,23:26,4,not passed
73,Cegléd,23:28,23:36,23:29,23:37,5,not passed
89,Abony,23:39,23:47,23:40,23:47,3,not passed
100,Szolnok,23:51,00:00,23:52,00:01,4,not passed
110,Szajol,24:00,00:10,00:01,00:10,3,not passed
119,Törökszentmiklós,00:07,00:18,00:08,00:18,4,not passed
131,Fegyvernek-Örményes,00:15,00:15,00:16,00:16,3,not passed
146,Kisújszállás,00:25,00:25,00:26,00:26,3,not passed
162,Karcag,00:36,00:36,00:37,00:37,4,not passed
177,Püspökladány,00:47,00:47,00:48,00:48,3,not passed
188,Kaba,00:56,00:56,00:57,00:57,1,not passed
201,Hajdúszoboszló,01:06,01:06,01:07,01:07,3,not passed
209,Ebes / Ebes vá. amh.,01:12,01:12,01:20,01:20,-,not passed
221,Debrecen vasútállomás,01:40,01:40,,,-,not passed
