Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
8,Rákos,23:05,23:07,23:06,23:08,4,not passed
12,Akadémiaújtelep,23:10,23:11,23:10,23:12,2,not passed
15,Rákosliget,23:12,23:15,23:12,23:15,2,not passed
16,Rákoscsaba-Újtelep,23:14,23:17,23:14,23:18,2,not passed
17,Rákoscsaba,23:15,23:19,23:15,23:20,2,not passed
21,Pécel,23:18,23:23,23:19,23:23,1,not passed
30,Isaszeg,23:25,23:29,23:26,23:30,1,not passed
33,Gödöllő-Állami telepek,23:29,23:32,23:29,23:33,2,not passed
36,Gödöllő,23:33,23:36,23:34,23:37,5,not passed
39,Máriabesnyő,23:37,23:40,23:37,23:41,2,not passed
49,Bag,23:44,23:47,23:44,23:48,2,not passed
51,Aszód,23:46,23:50,23:47,23:50,4,not passed
53,Hévízgyörk,23:50,23:53,23:50,23:53,2,not passed
56,Galgahévíz,23:53,23:55,23:53,23:56,2,not passed
59,Tura,23:56,23:58,23:56,23:59,2,not passed
67,Hatvan,00:04,00:06,00:05,00:07,4,not passed
87,Vámosgyörk,00:19,00:19,00:20,00:20,1,not passed
91,Adács,00:24,00:24,00:24,00:24,A,not passed
97,Karácsond,00:29,00:29,00:29,00:29,A,not passed
101,Ludas,00:33,00:33,00:34,00:34,3,not passed
106,Nagyút,00:39,00:39,00:40,00:40,1,not passed
113,Kál-Kápolna,00:45,00:45,00:46,00:46,3,not passed
125,Füzesabony,00:55,00:55,,,2,not passed
