Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
8,Kőbánya alsó,23:41,23:42,23:42,23:42,2,not passed
11,Kőbánya-Kispest,23:46,23:47,23:47,23:48,4,not passed
14,Kispest,23:51,23:52,23:52,23:53,3,not passed
18,Pestszentimre felső,24:00,00:00,00:00,00:00,-,not passed
20,Pestszentimre,00:03,00:03,00:04,00:04,2,not passed
22,Gyál felső,00:07,00:07,00:08,00:08,-,not passed
24,Gyál,00:11,00:11,00:12,00:12,1,not passed
28,Felsőpakony,00:18,00:18,00:19,00:19,-,not passed
33,Ócsa,00:26,00:26,00:27,00:27,3,not passed
42,Inárcs-Kakucs,00:40,00:40,00:41,00:41,1,not passed
48,Dabas,00:51,00:51,00:52,00:52,3,not passed
50,Gyón,00:55,00:55,00:56,00:56,-,not passed
55,Hernád,01:01,01:01,01:02,01:02,-,not passed
60,Örkény,01:07,01:07,01:08,01:08,3,not passed
64,Táborfalva,01:13,01:13,01:14,01:14,3,not passed
68,Felsőlajos,01:18,01:18,01:19,01:19,-,not passed
73,Lajosmizse,01:26,01:26,,,4,not passed
