Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
0,Szolnok,,,22:45,22:47,3,not passed
11,Abony,22:56,23:04,22:57,23:04,2,not passed
27,Cegléd,23:07,23:14,23:08,23:15,5,not passed
34,Budai út,23:13,23:20,23:14,23:21,1,not passed
38,Ceglédbercel-Cserő,23:17,23:24,23:18,23:24,1,not passed
40,Ceglédbercel,23:20,23:26,23:21,23:27,1,not passed
45,Albertirsa,23:24,23:31,23:25,23:31,3,not passed
52,Pilis,23:30,23:36,23:31,23:37,2,not passed
56,Monorierdő,23:34,23:41,23:35,23:42,1,not passed
62,Monor,23:40,23:57,23:41,23:58,3,not passed
67,Hosszúberek-Péteri,23:46,00:04,23:46,00:05,1,not passed
71,Üllő,23:49,00:08,23:50,00:08,2,not passed
77,Vecsés-Kertekalja,23:54,00:12,23:55,00:13,1,not passed
78,Vecsés,23:57,00:15,23:58,00:15,2,not passed
82,Ferihegy,00:01,00:18,00:02,00:02,1,not passed
84,Szemeretelep,00:04,00:04,00:04,00:04,1,not passed
86,Pestszentlőrinc,00:06,00:06,00:07,00:07,2,not passed
89,Kőbánya-Kispest,00:10,00:10,00:11,00:11,1,not passed
92,Kőbánya alsó,00:14,00:14,00:15,00:15,1,not passed
95,Zugló,00:20,00:20,00:21,00:21,1,not passed
100,Budapest-Nyugati,00:29,00:29,,,17,not passed
