Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
5,Zebegény,23:04,23:05,23:05,23:05,1,not passed
12,Nagymaros,23:11,23:11,23:12,23:12,4,not passed
13,Nagymaros-Visegrád,23:13,23:14,23:14,23:14,1,not passed
18,Kismaros,23:19,23:19,23:19,23:19,1,not passed
21,Verőce,23:21,23:21,23:22,23:22,2,not passed
30,Vác,23:29,23:29,23:34,23:34,2,not passed
32,Vác-Alsóváros,23:36,23:36,23:37,23:37,1,not passed
37,Sződ-Sződliget,23:40,23:41,23:40,23:41,1,not passed
40,Felsőgöd,23:42,23:44,23:43,23:44,1,not passed
42,Göd,23:45,23:46,23:46,23:47,2,not passed
43,Alsógöd,23:47,23:48,23:48,23:49,1,not passed
47,Dunakeszi-Gyártelep,23:51,23:52,23:52,23:53,1,not passed
49,Dunakeszi,23:54,23:55,23:55,23:55,4,not passed
51,Dunakeszi alsó,23:57,23:57,23:57,23:58,1,not passed
56,Rákospalota-Újpest,00:01,00:03,00:02,00:04,3,not passed
58,Istvántelek,00:04,00:08,00:04,00:09,1,not passed
61,Rákosrendező,00:07,00:12,00:08,00:13,2,not passed
64,Budapest-Nyugati,00:14,00:14,,,8,not passed
