Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
,Nagyicce H,00:02,00:02,00:02,00:03,A,not passed
,Sashalom H,00:04,00:04,00:04,00:06,A,not passed
,"Mátyásföld, repülőtér H",00:06,00:08,00:06,00:08,A,not passed
,"Mátyásföld, Imre utca H",00:07,00:09,00:07,00:09,A,not passed
,Mátyásföld alsó H,00:09,00:10,00:09,00:10,A,not passed
,Cinkota H,00:11,00:12,00:12,00:12,2,not passed
,Ilonatelep H,00:14,00:15,00:14,00:15,A,not passed
,"Kistarcsa, kórház H",00:17,00:18,00:17,00:18,A,not passed
,Kistarcsa H,00:19,00:19,00:19,00:19,A,not passed
,Zsófialiget H,00:20,00:20,00:20,00:20,A,not passed
,Kerepes H,00:22,00:22,00:22,00:22,3,not passed
,Szilasliget H,00:24,00:24,00:24,00:24,A,not passed
,Mogyoród H,00:29,00:29,00:29,00:29,1,not passed
,Szentjakab H,00:31,00:31,00:31,00:31,A,not passed
,"Gödöllő, Erzsébet park H",00:37,00:37,00:37,00:37,A,not passed
,"Gödöllő, Szabadság tér H",00:39,00:39,00:39,00:39,A,not passed
,"Gödöllő, Palotakert H",00:42,00:42,00:42,00:42,B,not passed
,Gödöllő H,00:44,00:44,,,11,not passed
