Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
6,Istvántelek,23:13,23:14,23:14,23:15,2,not passed
8,Rákospalota-Újpest,23:17,23:17,23:18,23:18,5,not passed
10,Rákospalota-Kertváros,23:20,23:21,23:21,23:22,mh,not passed
14,Alagimajor,23:26,23:26,23:26,23:26,mh,not passed
16,Fót,23:30,23:30,23:31,23:31,2,not passed
17,Fótújfalu,23:33,23:33,23:33,23:34,mh,not passed
18,Fótfürdő,23:35,23:36,23:35,23:36,mh,not passed
21,Csomád,23:39,23:40,23:39,23:41,1,not passed
26,Ivacs,23:44,23:46,23:45,23:46,mh,not passed
27,Veresegyház,23:47,23:48,23:48,23:49,2,not passed
29,Erdőkertes,23:50,23:51,23:51,23:52,mh,not passed
30,Vicziántelep,23:53,23:54,23:54,23:55,mh,not passed
31,Őrbottyán,23:56,23:56,23:57,23:57,3,not passed
36,Rudnaykert,00:02,00:02,00:03,00:03,mh,not passed
37,Váchartyán,00:05,00:05,00:06,00:06,mh,not passed
41,Csörög,00:11,00:11,00:11,00:11,mh,not passed
44,Máriaudvar,00:14,00:14,00:15,00:15,mh,not passed
47,Vác-Alsóváros,00:18,00:18,00:19,00:19,3,not passed
49,Vác,00:22,00:22,,,4a,not passed
