Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
6,Istvántelek,00:13,00:13,00:14,00:14,2,not passed
8,Rákospalota-Újpest,00:17,00:17,00:18,00:18,5,not passed
10,Rákospalota-Kertváros,00:20,00:20,00:21,00:21,mh,not passed
14,Alagimajor,00:26,00:26,00:26,00:26,mh,not passed
16,Fót,00:30,00:30,00:31,00:31,2,not passed
17,Fótújfalu,00:33,00:33,00:33,00:33,mh,not passed
18,Fótfürdő,00:35,00:35,00:35,00:35,mh,not passed
21,Csomád,00:39,00:39,00:39,00:39,1,not passed
26,Ivacs,00:44,00:44,00:45,00:45,mh,not passed
27,Veresegyház,00:47,00:47,00:48,00:48,2,not passed
29,Erdőkertes,00:50,00:50,00:51,00:51,mh,not passed
30,Vicziántelep,00:53,00:53,00:54,00:54,mh,not passed
31,Őrbottyán,00:56,00:56,00:57,00:57,3,not passed
36,Rudnaykert,01:02,01:02,01:03,01:03,mh,not passed
37,Váchartyán,01:05,01:05,01:06,01:06,mh,not passed
41,Csörög,01:11,01:11,01:11,01:11,mh,not passed
44,Máriaudvar,01:14,01:14,01:15,01:15,mh,not passed
47,Vác-Alsóváros,01:18,01:18,01:19,01:19,3,not passed
49,Vác,01:22,01:22,,,4a,not passed
