Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
11,Onga,23:17,23:18,23:20,23:20,2,not passed
19,Szikszó-Vásártér,23:27,23:28,23:27,23:29,-,not passed
21,Szikszó,23:29,23:30,23:30,23:31,2,not passed
23,Aszaló,23:33,23:33,23:33,23:34,-,not passed
27,Halmaj,23:36,23:37,23:37,23:38,1,not passed
31,Csobád,23:41,23:42,23:41,23:42,-,not passed
33,Ináncs,23:44,23:44,23:44,23:45,-,not passed
40,Forró-Encs,23:49,23:50,23:50,23:51,2,not passed
44,Méra,23:54,23:54,23:54,23:55,-,not passed
49,Novajidrány,23:58,00:00,23:59,00:01,2,not passed
59,Hernádszurdok,00:07,00:07,00:07,00:07,-,not passed
62,Hidasnémeti,00:10,00:10,,,A,not passed
