Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
,Pomáz H,23:40,23:42,23:41,23:42,2,not passed
,Szentistvántelep H,23:43,23:44,23:43,23:45,B,not passed
,"Budakalász, Lenfonó H",23:45,23:46,23:45,23:46,B,not passed
,Budakalász H,23:47,23:48,23:47,23:48,2,not passed
,Békásmegyer H,23:50,23:51,23:51,23:51,2,not passed
,Csillaghegy H,23:54,23:54,23:54,23:54,B,not passed
,Rómaifürdő H,23:56,23:56,23:56,23:56,B,not passed
,Aquincum H,23:58,23:58,23:58,23:58,B,not passed
,Kaszásdűlő H,00:00,00:00,00:00,00:00,B,not passed
,Filatorigát H,00:01,00:01,00:01,00:02,B,not passed
,Szentlélek tér H,00:04,00:04,00:04,00:04,B,not passed
,Tímár utca H,00:05,00:05,00:05,00:05,B,not passed
,Szépvölgyi út H,00:07,00:07,00:07,00:07,B,not passed
,"Margit híd, budai hídfő H",00:09,00:09,00:09,00:09,B,not passed
,Batthyány tér H,00:12,00:12,,,2,not passed
