Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
13,Vámosgyörk,22:34,22:35,22:35,22:35,2,not passed
33,Hatvan,22:49,22:49,22:59,23:00,5b,not passed
41,Tura,23:06,23:06,23:06,23:06,1,not passed
49,Aszód,23:11,23:12,23:12,23:13,3,not passed
51,Bag,23:14,23:14,23:14,23:15,1,not passed
61,Máriabesnyő,23:21,23:21,23:21,23:22,1,not passed
64,Gödöllő,23:24,23:26,23:25,23:27,2,not passed
70,Isaszeg,23:31,23:31,23:32,23:32,3,not passed
79,Pécel,23:38,23:38,23:39,23:39,4,not passed
83,Rákoscsaba,23:43,23:42,23:43,23:43,1,not passed
84,Rákoscsaba-Újtelep,23:44,23:44,23:44,23:45,1,not passed
85,Rákosliget,23:46,23:46,23:46,23:46,1,not passed
88,Akadémiaújtelep,23:48,23:48,23:48,23:49,1,not passed
92,Rákos,23:52,23:52,23:53,23:53,4,not passed
95,Kőbánya felső,23:58,23:59,23:59,23:59,3,not passed
100,Budapest-Keleti,00:05,00:05,,,12,not passed
