Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
0,Szentlőrinc,,,23:05,23:19,4,not passed
7,Cserdi-Helesfa,23:11,23:25,23:11,23:26,-,not passed
10,Bükkösd,23:14,23:29,23:15,23:30,2,not passed
15,Hetvehely,23:19,23:34,23:19,23:34,-,not passed
18,Abaliget,23:22,23:38,23:23,23:38,2,not passed
25,Szatina-Kishajmás,23:28,23:43,23:28,23:44,-,not passed
28,Godisa,23:31,23:47,23:32,23:48,3,not passed
32,Sásd,23:35,23:51,23:36,23:52,3,not passed
38,Vásárosdombó,23:41,23:58,23:42,23:58,1,not passed
40,Kaposszekcső,23:45,00:01,23:45,00:01,-,not passed
45,Dombóvár,23:50,23:50,,,4,not passed
