Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
7,Angyalföld,23:25,23:25,23:26,23:26,2,not passed
8,Újpest,23:28,23:27,23:28,23:28,2,not passed
10,Aquincum,23:31,23:31,23:32,23:32,1,not passed
12,Óbuda,23:33,23:33,23:34,23:34,3,not passed
13,Aranyvölgy,23:35,23:36,23:35,23:36,1,not passed
14,Üröm,23:37,23:37,23:37,23:38,1,not passed
19,Solymár,23:40,23:41,23:41,23:42,2,not passed
21,Szélhegy,23:43,23:44,23:43,23:44,1,not passed
22,Vörösvárbánya,23:45,23:46,23:45,23:47,1,not passed
23,Pilisvörösvár,23:47,23:48,23:48,23:49,1,not passed
25,Szabadságliget,23:50,23:51,23:50,23:52,mh,not passed
31,Klotildliget,23:57,23:57,23:57,23:58,mh,not passed
32,Piliscsaba,23:59,00:00,00:00,00:01,3,not passed
34,Magdolnavölgy,00:02,00:03,00:02,00:03,mh,not passed
36,Pilisjászfalu,00:04,00:04,00:04,00:04,mh,not passed
39,Piliscsév,00:07,00:07,00:07,00:07,mh,not passed
41,Leányvár,00:10,00:10,00:11,00:11,2,not passed
46,Dorog,00:16,00:16,00:17,00:17,3,not passed
49,Esztergom-Kertváros,00:20,00:20,00:21,00:21,1,not passed
53,Esztergom,00:26,00:26,,,4,not passed
