Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
,Szabadkikötő H,23:53,23:53,23:53,23:54,A,not passed
,Szent Imre tér H,23:57,23:57,23:57,23:57,A,not passed
,Karácsony Sándor utca H,23:59,23:58,23:59,23:58,A,not passed
,Csepel H,00:01,00:00,,,1,not passed
