Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
5,Máriaudvar,22:41,22:43,22:41,22:44,mh,not passed
8,Csörög,22:44,22:47,22:44,22:48,mh,not passed
12,Váchartyán,22:49,22:52,22:50,22:52,mh,not passed
13,Rudnaykert,22:52,22:54,22:52,22:54,mh,not passed
18,Őrbottyán,22:58,22:59,22:59,23:00,3,not passed
19,Vicziántelep,23:01,23:01,23:02,23:02,mh,not passed
20,Erdőkertes,23:04,23:04,23:05,23:05,mh,not passed
22,Veresegyház,23:07,23:07,23:10,23:10,2,not passed
23,Ivacs,23:12,23:12,23:12,23:13,mh,not passed
28,Csomád,23:17,23:18,23:18,23:18,1,not passed
31,Fótfürdő,23:22,23:22,23:23,23:23,mh,not passed
32,Fótújfalu,23:25,23:25,23:26,23:26,mh,not passed
33,Fót,23:28,23:28,23:31,23:31,3,not passed
35,Alagimajor,23:34,23:34,23:34,23:34,mh,not passed
39,Rákospalota-Kertváros,23:39,23:39,23:40,23:40,mh,not passed
41,Rákospalota-Újpest,23:43,23:47,23:45,23:49,5,not passed
43,Istvántelek,23:48,23:53,23:49,23:54,1,not passed
46,Rákosrendező,23:52,23:57,23:53,23:58,2,not passed
49,Budapest-Nyugati,23:59,23:59,,,6,not passed
