Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
0,Pécs,,,22:45,22:57,2,not passed
2,Pécs-Külváros,22:48,22:59,22:49,22:59,3,not passed
5,Pécsbánya-Rendező,22:52,23:04,22:53,23:05,4,not passed
12,Pécsudvard,22:58,23:11,22:59,23:12,-,not passed
17,Szőkéd,23:03,23:17,23:03,23:17,-,not passed
21,Áta,23:07,23:21,23:08,23:21,2,not passed
24,Kistótfalu,23:11,23:25,23:11,23:25,-,not passed
26,Vokány,23:13,23:28,23:14,23:28,-,not passed
31,Palkonya,23:18,23:33,23:19,23:33,-,not passed
34,Villánykövesd,23:22,23:36,23:23,23:37,-,not passed
36,Villány,23:26,23:40,23:30,23:42,2,not passed
40,Márok,23:34,23:47,23:35,23:47,-,not passed
46,Bóly,23:40,23:53,23:41,23:53,-,not passed
49,Nagynyárád,23:43,23:55,23:44,23:55,-,not passed
58,Középmező,23:52,23:52,23:53,23:53,-,not passed
60,Mohács,23:55,23:55,,,R1,not passed
