Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
,Árpádföld H,00:00,00:00,00:00,00:00,A,not passed
,Cinkota alsó H,00:02,00:02,00:02,00:02,A,not passed
,Cinkota H,00:05,00:04,,,1,not passed
