Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
8,Kőbánya alsó,23:51,23:52,23:52,23:52,2,not passed
11,Kőbánya-Kispest,23:56,23:57,23:57,23:58,4,not passed
14,Pestszentlőrinc,24:00,00:01,00:01,00:01,1,not passed
16,Szemeretelep,00:03,00:03,00:03,00:03,2,not passed
18,Ferihegy,00:05,00:05,00:06,00:06,2,not passed
22,Vecsés,00:09,00:09,00:10,00:10,3,not passed
23,Vecsés-Kertekalja,00:12,00:12,00:13,00:13,2,not passed
29,Üllő,00:17,00:17,00:18,00:18,1,not passed
33,Hosszúberek-Péteri,00:21,00:21,00:21,00:21,2,not passed
38,Monor,00:26,00:26,00:27,00:27,3,not passed
44,Monorierdő,00:32,00:32,00:33,00:33,2,not passed
48,Pilis,00:36,00:36,00:37,00:37,3,not passed
55,Albertirsa,00:43,00:43,00:44,00:44,4,not passed
60,Ceglédbercel,00:48,00:48,00:49,00:49,2,not passed
62,Ceglédbercel-Cserő,00:51,00:51,00:52,00:52,2,not passed
66,Budai út,00:55,00:55,00:56,00:56,2,not passed
73,Cegléd,01:02,01:02,01:03,01:03,5,not passed
89,Abony,01:13,01:13,01:14,01:14,3,not passed
100,Szolnok,01:25,01:25,,,1/a,not passed
