Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
10,Szabadbattyán,23:05,23:06,23:05,23:06,2,not passed
18,Polgárdi-Ipartelepek,23:11,23:12,23:12,23:13,3,not passed
20,Polgárdi,23:15,23:16,23:15,23:16,2,not passed
23,Füle,23:18,23:19,23:18,23:20,-,not passed
28,Balatonfőkajár felső,23:22,23:22,23:22,23:22,-,not passed
30,Csajág,23:25,23:27,23:26,23:27,2,not passed
33,Balatonakarattya,23:29,23:30,23:29,23:30,-,not passed
36,Csittényhegy,23:33,23:34,23:33,23:35,-,not passed
38,Balatonkenese,23:36,23:38,23:37,23:38,2,not passed
44,Balatonfűzfő,23:42,23:44,23:43,23:44,2,not passed
50,Balatonalmádi,23:49,23:50,23:50,23:50,2,not passed
52,Káptalanfüred,23:52,23:52,23:52,23:52,-,not passed
56,Alsóörs,23:56,23:56,23:57,23:57,2,not passed
60,Csopak,24:00,00:01,00:00,00:01,-,not passed
63,Balatonarács,00:04,00:04,00:04,00:04,-,not passed
65,Balatonfüred,00:08,00:08,,,5,not passed
