Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
0,Pécs,,,22:44,22:58,A,not passed
6,Mecsekalja-Cserkút,22:50,23:04,22:50,23:04,3,not passed
14,Bicsérd,22:56,23:10,22:56,23:11,3,not passed
19,Szentlőrinc,23:00,23:16,23:01,23:17,6,not passed
24,Szentdénes,23:07,23:22,23:07,23:23,-,not passed
27,Nagypeterd,23:10,23:25,23:10,23:26,-,not passed
34,Szigetvár,23:18,23:33,23:19,23:33,2,not passed
38,Molvány,23:24,23:37,23:24,23:38,-,not passed
42,Nemeske,23:28,23:41,23:28,23:42,-,not passed
51,Darány,23:36,23:51,23:36,23:52,2,not passed
60,Barcs felső,23:45,00:03,23:45,23:45,-,not passed
64,Barcs,23:51,23:51,,,3,not passed
