Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
9,Budafok,23:01,23:03,23:01,23:03,1,not passed
11,Háros,23:03,23:05,23:03,23:06,3,not passed
12,Budatétény,23:05,23:07,23:05,23:08,2,not passed
14,Barosstelep,23:07,23:10,23:07,23:10,2,not passed
16,Nagytétény-Diósd,23:09,23:12,23:09,23:12,3,not passed
19,Érdliget,23:12,23:14,23:12,23:15,2,not passed
20,Érd felső,23:14,23:17,23:15,23:17,2,not passed
23,Érd,23:18,23:20,23:19,23:20,3,not passed
28,Százhalombatta,23:24,23:25,23:25,23:26,7,not passed
32,Dunai Finomító,23:29,23:30,23:30,23:31,1,not passed
37,Ercsi,23:35,23:36,23:36,23:37,4,not passed
47,Iváncsa,23:43,23:44,23:44,23:45,1,not passed
53,Pusztaszabolcs,23:49,23:49,23:50,23:50,3,not passed
62,Adony,23:57,23:58,23:57,23:58,4,not passed
70,Kulcs,00:03,00:03,00:04,00:04,-,not passed
73,Rácalmás,00:07,00:07,00:07,00:07,3,not passed
80,Dunaújváros,00:14,00:14,,,3,not passed
