Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
,"Gödöllő, Szabadság tér H",23:32,23:32,23:32,23:33,B,not passed
,"Gödöllő, Erzsébet park H",23:34,23:34,23:34,23:34,B,not passed
,Szentjakab H,23:40,23:39,23:40,23:39,B,not passed
,Mogyoród H,23:42,23:42,23:42,23:42,2,not passed
,Szilasliget H,23:46,23:46,23:46,23:46,B,not passed
,Kerepes H,23:49,23:49,23:49,23:49,2,not passed
,Zsófialiget H,23:50,23:50,23:50,23:51,B,not passed
,Kistarcsa H,23:52,23:52,23:52,23:52,B,not passed
,"Kistarcsa, kórház H",23:53,23:53,23:53,23:54,B,not passed
,Ilonatelep H,23:57,23:57,23:57,23:57,B,not passed
,Cinkota H,23:59,23:59,,,3,not passed
