Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
0,Győr,,,22:38,22:42,1,not passed
2,Győr-Gyárváros,22:40,22:44,22:40,22:45,2,not passed
8,Győrszentiván,22:44,22:48,22:44,22:49,4,not passed
18,Nagyszentjános,22:49,22:54,22:50,22:55,3,not passed
28,Ács,22:55,23:00,22:56,23:01,5,not passed
37,Komárom,23:02,23:06,23:03,23:07,4,not passed
42,Szőny,23:07,23:11,23:07,23:11,1,not passed
45,Almásfüzitő felső,23:09,23:14,23:10,23:14,2,not passed
48,Almásfüzitő,23:14,23:19,23:21,23:23,4,not passed
57,Tata,23:26,23:30,23:27,23:36,4,not passed
60,Tóvároskert,23:30,23:39,23:30,23:40,1,not passed
64,Vértesszőlős,23:33,23:42,23:33,23:43,1,not passed
67,Tatabánya,23:37,23:46,23:38,23:48,4,not passed
72,Alsógalla,23:41,23:51,23:41,23:52,1,not passed
80,Szárliget,23:45,23:56,23:46,23:57,6,not passed
85,Szár,23:49,23:59,23:49,00:00,1,not passed
92,Bicske,23:54,23:54,23:55,23:55,5,not passed
94,Bicske alsó,23:57,23:57,23:57,23:57,1,not passed
102,Herceghalom,00:01,00:01,00:02,00:02,4,not passed
109,Biatorbágy,00:07,00:07,00:08,00:08,3,not passed
117,Törökbálint,00:12,00:12,00:12,00:12,1,not passed
121,Budaörs,00:16,00:16,00:17,00:17,4,not passed
127,Budapest-Kelenföld,00:24,00:24,00:27,00:27,6,not passed
131,Budapest-Déli,00:34,00:34,,,10,not passed
