Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
,Wien Hbf,,,19:42,19:42,-,not passed
0,Hegyeshalom,20:25,20:43,20:28,20:47,3,not passed
11,Mosonmagyaróvár,20:35,20:54,20:36,20:55,4,not passed
47,Győr,20:54,21:13,20:56,21:15,3,not passed
114,Tatabánya,21:29,21:53,21:30,21:56,4,not passed
174,Budapest-Kelenföld,22:02,22:30,22:04,22:31,14,not passed
180,Ferencváros,22:10,22:40,22:11,22:41,4,not passed
187,Budapest-Keleti,22:20,22:53,23:10,23:17,8,not passed
287,Szolnok,00:34,00:34,00:35,00:35,4,not passed
383,Békéscsaba,01:30,01:30,01:32,01:32,4,not passed
412,Lőkösháza,02:02,02:02,02:39,02:39,2,not passed
,Curtici,03:49,03:49,04:14,04:14,-,not passed
,Arad,04:26,04:26,04:41,04:41,-,not passed
,Deva,07:00,07:00,07:02,07:02,-,not passed
,Simeria,07:10,07:10,07:22,07:22,-,not passed
,Orastie,07:33,07:33,07:35,07:35,-,not passed
,Alba Iulia,07:58,07:58,08:00,08:00,-,not passed
,Blaj,08:22,08:22,08:24,08:24,-,not passed
,Mediaş,08:48,08:48,08:50,08:50,-,not passed
,Sighişoara,09:13,09:13,09:18,09:18,-,not passed
,Braşov,12:36,12:36,12:41,12:41,-,not passed
,Predeal,13:15,13:15,13:16,13:16,-,not passed
,Azuga,13:25,13:25,13:26,13:26,-,not passed
,Busteni,13:31,13:31,13:32,13:32,-,not passed
,Sinaia,13:40,13:40,13:41,13:41,-,not passed
,Campina,14:06,14:06,14:07,14:07,-,not passed
,Ploieşti Vest,14:28,14:28,14:29,14:29,-,not passed
,Bucureşti Nord,15:06,15:06,,,-,not passed
