Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
9,Budafok,00:01,00:03,00:01,00:01,1,not passed
11,Háros,00:03,00:03,00:03,00:03,3,not passed
12,Budatétény,00:05,00:05,00:05,00:05,2,not passed
14,Barosstelep,00:07,00:07,00:07,00:07,2,not passed
16,Nagytétény-Diósd,00:09,00:09,00:09,00:09,3,not passed
19,Érdliget,00:12,00:12,00:12,00:12,2,not passed
20,Érd felső,00:14,00:14,00:15,00:15,2,not passed
23,Érd,00:18,00:18,00:19,00:19,3,not passed
28,Százhalombatta,00:24,00:24,00:25,00:25,7,not passed
32,Dunai Finomító,00:29,00:29,00:30,00:30,1,not passed
37,Ercsi,00:35,00:35,00:36,00:36,4,not passed
47,Iváncsa,00:43,00:43,00:44,00:44,1,not passed
53,Pusztaszabolcs,00:49,00:49,,,3,not passed
