Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
17,Tiszatenyő,23:10,23:15,23:11,23:15,2,not passed
23,Kengyel,23:17,23:21,23:18,23:22,-,not passed
27,Bagimajor,23:22,23:25,23:23,23:26,-,not passed
32,Martfű,23:28,23:30,23:29,23:30,3,not passed
37,Tiszaföldvár,23:34,23:35,23:35,23:35,3,not passed
40,Homok,23:39,23:39,23:40,23:40,-,not passed
44,Kungyalu,23:44,23:44,23:45,23:45,-,not passed
52,Kunszentmárton,23:52,23:52,23:53,23:53,3,not passed
62,Nagytőke,00:02,00:03,00:03,00:03,3,not passed
74,Szentes,00:14,00:14,,,3,not passed
