Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
13,Nagyberki,22:13,22:23,22:14,22:23,-,not passed
29,Kaposszentjakab,22:26,22:35,22:27,22:35,A,not passed
31,Kaposvár,22:30,22:39,22:49,22:49,4,not passed
37,Kaposújlak,22:57,22:57,22:57,22:58,-,not passed
39,Kaposmérő,23:00,23:00,23:01,23:04,2,not passed
42,Kaposfő,23:05,23:07,23:05,23:08,-,not passed
46,Kiskorpád,23:09,23:11,23:10,23:12,3,not passed
50,Jákó-Nagybajom,23:15,23:17,23:16,23:17,3,not passed
59,Kutas,23:24,23:25,23:24,23:26,-,not passed
61,Beleg,23:28,23:30,23:29,23:30,2,not passed
67,Ötvöskónyi,23:34,23:35,23:34,23:35,-,not passed
71,Somogyszob,23:39,23:40,23:40,23:40,4,not passed
74,Bolhás,23:43,23:43,23:43,23:43,-,not passed
81,Szenta,23:50,23:50,23:50,23:50,2,not passed
84,Zrínyitelep,23:53,23:53,23:53,23:53,-,not passed
90,Csurgó,23:58,00:00,23:59,00:00,3,not passed
101,Gyékényes,00:10,00:10,,,2,not passed
