Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
6,Istvántelek,22:58,23:01,22:59,23:02,2,not passed
8,Rákospalota-Újpest,23:01,23:04,23:02,23:05,4,not passed
13,Dunakeszi alsó,23:06,23:09,23:06,23:09,2,not passed
15,Dunakeszi,23:08,23:12,23:09,23:12,3,not passed
17,Dunakeszi-Gyártelep,23:11,23:14,23:12,23:15,2,not passed
21,Alsógöd,23:15,23:18,23:15,23:18,2,not passed
22,Göd,23:16,23:20,23:17,23:21,3,not passed
24,Felsőgöd,23:19,23:23,23:20,23:23,2,not passed
27,Sződ-Sződliget,23:22,23:26,23:23,23:26,2,not passed
32,Vác-Alsóváros,23:26,23:30,23:27,23:31,2,not passed
34,Vác,23:29,23:33,23:33,23:33,5,not passed
43,Verőce,23:39,23:40,23:40,23:41,3,not passed
46,Kismaros,23:42,23:43,23:42,23:43,2,not passed
51,Nagymaros-Visegrád,23:47,23:49,23:48,23:49,2,not passed
52,Nagymaros,23:49,23:51,23:50,23:51,3,not passed
59,Zebegény,23:57,23:59,23:58,23:59,2,not passed
63,Szob alsó,00:01,00:03,00:02,00:02,2,not passed
64,Szob,00:04,00:04,,,1a,not passed
