Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
14,Józsa,22:57,22:57,22:57,22:58,-,not passed
15,Hajdúszentgyörgy,22:59,22:59,22:59,22:59,-,not passed
17,Zelemér,23:01,23:02,23:02,23:03,-,not passed
24,Hajdúböszörmény,23:10,23:11,23:11,23:12,2,not passed
33,Hajdúvid,23:21,23:22,23:21,23:22,mh,not passed
40,Hajdúdorog,23:29,23:30,23:30,23:30,2,not passed
46,Hajdúnánás,23:37,23:37,23:38,23:38,3,not passed
48,Hajdúnánás-Vásártér,23:42,23:42,23:42,23:42,mh,not passed
55,Tedej,23:50,23:50,23:50,23:50,mh,not passed
60,Tiszavasvári,23:56,23:57,23:57,23:58,3,not passed
63,Egyházerdő,00:03,00:03,00:03,00:03,mh,not passed
64,Szorgalmatos,00:05,00:05,00:06,00:06,mh,not passed
68,Tiszalök,00:11,00:11,,,3,not passed
