Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
,Szépvölgyi út H,23:32,23:33,23:32,23:33,A,not passed
,Tímár utca H,23:34,23:35,23:34,23:35,A,not passed
,Szentlélek tér H,23:36,23:36,23:36,23:36,A,not passed
,Filatorigát H,23:38,23:38,23:38,23:39,A,not passed
,Kaszásdűlő H,23:40,23:40,23:40,23:40,A,not passed
,Aquincum H,23:42,23:42,23:42,23:42,A,not passed
,Rómaifürdő H,23:44,23:44,23:44,23:44,A,not passed
,Csillaghegy H,23:46,23:46,23:46,23:46,A,not passed
,Békásmegyer H,23:49,23:49,23:50,23:50,1,not passed
,Budakalász H,23:53,23:53,23:53,23:53,3,not passed
,"Budakalász, Lenfonó H",23:55,23:55,23:55,23:56,A,not passed
,Szentistvántelep H,23:57,23:57,23:57,23:57,A,not passed
,Pomáz H,23:59,00:00,00:00,00:00,3,not passed
,Pannóniatelep H,00:04,00:04,00:04,00:04,A,not passed
,Szentendre H,00:07,00:07,,,3,not passed
