Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
6,Istvántelek,23:58,00:00,23:59,00:01,2,not passed
8,Rákospalota-Újpest,00:01,00:01,00:02,00:02,4,not passed
13,Dunakeszi alsó,00:06,00:06,00:06,00:06,2,not passed
15,Dunakeszi,00:08,00:08,00:09,00:09,3,not passed
17,Dunakeszi-Gyártelep,00:11,00:11,00:12,00:12,2,not passed
21,Alsógöd,00:15,00:15,00:15,00:15,2,not passed
22,Göd,00:16,00:16,00:17,00:17,3,not passed
24,Felsőgöd,00:19,00:19,00:20,00:20,2,not passed
27,Sződ-Sződliget,00:22,00:22,00:23,00:23,2,not passed
32,Vác-Alsóváros,00:26,00:26,00:27,00:27,2,not passed
34,Vác,00:29,00:29,00:33,00:33,5,not passed
43,Verőce,00:39,00:39,00:40,00:40,3,not passed
46,Kismaros,00:42,00:42,00:42,00:42,2,not passed
51,Nagymaros-Visegrád,00:47,00:47,00:48,00:48,2,not passed
52,Nagymaros,00:49,00:49,00:50,00:50,3,not passed
59,Zebegény,00:57,00:57,00:58,00:58,2,not passed
63,Szob alsó,01:01,01:01,01:02,01:02,2,not passed
64,Szob,01:04,01:04,,,6,not passed
