Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
9,Budafok,23:31,23:33,23:31,23:33,1,not passed
12,Budatétény,23:34,23:36,23:34,23:36,2,not passed
14,Barosstelep,23:36,23:38,23:36,23:39,2,not passed
19,Érdliget,23:39,23:42,23:39,23:42,2,not passed
20,Érd felső,23:41,23:44,23:41,23:44,2,not passed
24,Tárnok,23:45,23:48,23:46,23:48,1,not passed
33,Martonvásár,23:51,23:53,23:52,23:54,3,not passed
36,Baracska,23:54,23:56,23:55,23:57,2,not passed
41,Pettend,23:58,00:00,23:58,00:01,2,not passed
44,Kápolnásnyék,24:00,00:03,00:01,00:01,2,not passed
47,Velence,00:03,00:03,00:03,00:03,2,not passed
48,Velencefürdő,00:05,00:05,00:05,00:05,2,not passed
50,Gárdony,00:07,00:07,00:08,00:08,3,not passed
52,Agárd,00:09,00:09,00:10,00:10,2,not passed
56,Dinnyés,00:13,00:13,00:13,00:13,2,not passed
67,Székesfehérvár,00:24,00:24,,,1,not passed
