Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
8,Kőbánya alsó,22:51,22:52,22:52,22:52,2,not passed
11,Kőbánya-Kispest,22:56,22:57,22:57,22:58,4,not passed
14,Pestszentlőrinc,23:00,23:01,23:01,23:01,1,not passed
16,Szemeretelep,23:03,23:04,23:03,23:04,2,not passed
18,Ferihegy,23:05,23:06,23:06,23:06,2,not passed
22,Vecsés,23:09,23:09,23:10,23:10,3,not passed
23,Vecsés-Kertekalja,23:12,23:12,23:13,23:13,2,not passed
29,Üllő,23:17,23:20,23:18,23:21,"é. 1
                      i. 2",not passed
33,Hosszúberek-Péteri,23:21,23:24,23:21,23:24,"é. 2
                      i. 1",not passed
38,Monor,23:26,23:31,23:27,23:32,3,not passed
44,Monorierdő,23:32,23:37,23:33,23:38,2,not passed
48,Pilis,23:36,23:41,23:37,23:41,3,not passed
55,Albertirsa,23:43,23:46,23:44,23:47,4,not passed
60,Ceglédbercel,23:48,23:51,23:49,23:51,2,not passed
62,Ceglédbercel-Cserő,23:51,23:53,23:52,23:54,2,not passed
66,Budai út,23:55,23:57,23:56,23:57,2,not passed
73,Cegléd,00:02,00:02,00:03,00:03,5,not passed
89,Abony,00:13,00:13,00:14,00:14,3,not passed
100,Szolnok,00:25,00:25,,,15,not passed
