Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
0,Hatvan,,,22:30,23:39,7a,not passed
9,Lőrinci,22:37,23:46,22:37,23:46,2,not passed
11,Selyp,22:39,23:49,22:40,23:49,4,not passed
15,Apc-Zagyvaszántó,22:45,23:53,22:46,23:53,3,not passed
19,Jobbágyi,22:51,23:57,22:52,23:58,mh,not passed
22,Szurdokpüspöki,22:55,00:00,22:56,00:01,1,not passed
30,Pásztó,23:04,23:04,23:12,23:12,2,not passed
33,Mátraszőlős-Hasznos,23:15,23:15,23:16,23:16,mh,not passed
36,Tar,23:20,23:20,23:21,23:21,1,not passed
39,Mátraverebély,23:25,23:25,23:26,23:26,mh,not passed
42,Nagybátony,23:29,23:29,23:30,23:30,1,not passed
46,Kisterenye,23:34,23:34,23:35,23:35,2,not passed
48,Kisterenye-Bányatelep,23:38,23:38,23:39,23:39,mh,not passed
54,Zagyvapálfalva,23:45,23:45,23:46,23:46,2,not passed
57,Salgótarján külső,23:49,23:49,23:50,23:50,3,not passed
59,Salgótarján,23:53,23:53,23:54,23:54,2,not passed
65,Somoskőújfalu,00:05,00:05,,,2,not passed
