Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
10,Kulcs,22:52,22:53,22:53,22:53,-,not passed
18,Adony,22:59,22:59,22:59,23:00,4,not passed
27,Pusztaszabolcs,23:07,23:06,23:08,23:08,5,not passed
33,Iváncsa,23:13,23:13,23:14,23:14,2,not passed
43,Ercsi,23:21,23:21,23:22,23:22,3,not passed
48,Dunai Finomító,23:27,23:28,23:27,23:28,2,not passed
52,Százhalombatta,23:31,23:32,23:32,23:32,2,not passed
57,Érd,23:37,23:37,23:38,23:38,2,not passed
60,Érd felső,23:41,23:41,23:42,23:42,1,not passed
61,Érdliget,23:44,23:44,23:44,23:44,1,not passed
64,Nagytétény-Diósd,23:47,23:47,23:47,23:47,2,not passed
66,Barosstelep,23:49,23:49,23:49,23:49,1,not passed
68,Budatétény,23:51,23:51,23:51,23:52,1,not passed
69,Háros,23:53,23:53,23:53,23:54,4,not passed
71,Budafok,23:55,23:55,23:55,23:56,2,not passed
76,Budapest-Kelenföld,00:01,00:00,00:02,00:02,5,not passed
80,Budapest-Déli,00:09,00:09,,,11,not passed
