Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
7,Dorog,23:43,23:43,23:44,23:44,3,not passed
12,Leányvár,23:48,23:48,23:49,23:49,2,not passed
14,Piliscsév,23:51,23:51,23:51,23:52,mh,not passed
17,Pilisjászfalu,23:54,23:56,23:54,23:56,mh,not passed
19,Magdolnavölgy,23:56,23:58,23:56,23:59,mh,not passed
21,Piliscsaba,23:59,00:00,00:01,00:02,2,not passed
22,Klotildliget,00:03,00:03,00:03,00:03,mh,not passed
28,Szabadságliget,00:11,00:11,00:11,00:11,mh,not passed
30,Pilisvörösvár,00:13,00:13,00:15,00:15,2,not passed
31,Vörösvárbánya,00:17,00:17,00:17,00:17,2,not passed
32,Szélhegy,00:19,00:19,00:19,00:19,2,not passed
34,Solymár,00:21,00:21,00:22,00:22,1,not passed
39,Üröm,00:25,00:25,00:25,00:25,2,not passed
40,Aranyvölgy,00:27,00:27,00:27,00:27,2,not passed
41,Óbuda,00:28,00:28,00:30,00:30,2,not passed
43,Aquincum,00:32,00:32,00:32,00:32,2,not passed
45,Újpest,00:35,00:35,00:36,00:36,1,not passed
46,Angyalföld,00:37,00:37,00:38,00:38,1,not passed
50,Rákosrendező,00:42,00:42,00:43,00:43,3,not passed
53,Budapest-Nyugati,00:49,00:49,,,2,not passed
