Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
8,Rákos,00:05,00:05,00:06,00:06,4,not passed
12,Akadémiaújtelep,00:10,00:10,00:10,00:10,2,not passed
15,Rákosliget,00:12,00:12,00:13,00:13,2,not passed
16,Rákoscsaba-Újtelep,00:15,00:15,00:16,00:16,2,not passed
17,Rákoscsaba,00:17,00:17,00:17,00:17,2,not passed
21,Pécel,00:20,00:20,00:21,00:21,1,not passed
30,Isaszeg,00:27,00:27,00:28,00:28,1,not passed
36,Gödöllő,00:33,00:33,00:34,00:34,5,not passed
39,Máriabesnyő,00:36,00:36,00:36,00:36,2,not passed
49,Bag,00:43,00:43,00:43,00:43,2,not passed
51,Aszód,00:45,00:45,00:46,00:46,4,not passed
53,Hévízgyörk,00:49,00:49,00:49,00:49,2,not passed
56,Galgahévíz,00:52,00:52,00:52,00:52,2,not passed
59,Tura,00:55,00:55,00:55,00:55,2,not passed
67,Hatvan,01:03,01:03,,,3a,not passed
