Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
8,Kőbánya alsó,22:41,22:42,22:42,22:43,2,not passed
11,Kőbánya-Kispest,22:46,22:48,22:47,22:49,4,not passed
14,Kispest,22:51,22:53,22:52,22:54,3,not passed
18,Pestszentimre felső,23:00,23:01,23:00,23:02,-,not passed
20,Pestszentimre,23:03,23:05,23:04,23:05,2,not passed
22,Gyál felső,23:07,23:09,23:08,23:09,-,not passed
24,Gyál,23:11,23:12,23:12,23:13,1,not passed
28,Felsőpakony,23:18,23:19,23:19,23:20,-,not passed
33,Ócsa,23:26,23:27,23:27,23:28,3,not passed
42,Inárcs-Kakucs,23:40,23:41,23:41,23:42,1,not passed
48,Dabas,23:51,23:51,23:52,23:52,3,not passed
50,Gyón,23:55,23:55,23:56,23:56,-,not passed
55,Hernád,00:01,00:02,00:02,00:02,-,not passed
60,Örkény,00:07,00:07,00:08,00:08,3,not passed
64,Táborfalva,00:13,00:13,00:14,00:14,3,not passed
68,Felsőlajos,00:18,00:18,00:19,00:19,-,not passed
73,Lajosmizse,00:26,00:26,,,2,not passed
