Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
0,Nyíregyháza,,,22:49,22:49,1,not passed
4,Nyíregyháza külső,22:55,22:55,22:56,22:56,2,not passed
9,Oros,23:03,23:05,23:03,23:05,mh,not passed
14,Napkor,23:09,23:15,23:10,23:15,mh,not passed
19,Apagy,23:16,23:25,23:17,23:25,2,not passed
23,Levelek-Magy,23:24,23:32,23:24,23:33,mh,not passed
27,Ófehértó,23:31,23:40,23:32,23:41,2,not passed
30,Ligettanya,23:36,23:46,23:36,23:46,mh,not passed
34,Baktalórántháza,23:44,23:55,23:45,23:55,3,not passed
41,Vaja-Rohod,23:57,23:57,23:58,23:58,3,not passed
43,Rákóczitanya,00:02,00:02,00:02,00:02,-,not passed
47,Nyírmada,00:09,00:09,00:10,00:10,2,not passed
52,Vásárosnamény külső,00:15,00:15,00:16,00:16,mh,not passed
59,Vásárosnamény,00:25,00:25,,,3,not passed
