Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
0,Szolnok,,,22:50,23:00,1/a,not passed
6,Piroska,22:56,23:08,22:56,23:08,mh,not passed
11,Tószeg,23:07,23:19,23:08,23:19,3,not passed
16,Tiszavárkony,23:13,23:24,23:13,23:24,-,not passed
18,Tiszajenő-Vezseny,23:16,23:27,23:16,23:28,,not passed
21,Tiszajenő alsó,23:19,23:30,23:19,23:31,-,not passed
25,Óbög,23:23,23:35,23:23,23:35,-,not passed
28,Újbög,23:26,23:39,23:26,23:39,2,not passed
30,Tiszakécske,23:30,23:44,23:31,23:44,3,not passed
35,Kerekdomb,23:40,23:54,23:41,23:54,-,not passed
40,Lakitelek,23:51,23:51,,,3,not passed
