Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
5,Kőbánya felső,23:55,23:59,23:56,00:01,1,not passed
8,Rákos,24:00,24:00,00:01,00:01,2,not passed
14,Rákoshegy,00:07,00:07,00:08,00:08,3,not passed
18,Rákoskert,00:11,00:11,00:12,00:12,2,not passed
20,Ecser,00:14,00:14,00:15,00:15,2,not passed
23,Maglód,00:17,00:17,00:18,00:18,4,not passed
25,Maglódi nyaraló,00:20,00:20,00:21,00:21,2,not passed
27,Gyömrő,00:23,00:23,00:24,00:24,2,not passed
30,Mende,00:27,00:27,00:28,00:28,4,not passed
33,Pusztaszentistván,00:30,00:30,00:31,00:31,2,not passed
38,Sülysáp,00:35,00:35,00:36,00:36,4,not passed
40,Szőlősnyaraló,00:38,00:38,00:39,00:39,2,not passed
45,Tápiószecső,00:43,00:43,00:44,00:44,4,not passed
50,Szentmártonkáta,00:48,00:48,00:49,00:49,2,not passed
55,Nagykáta,00:53,00:53,00:54,00:54,3,not passed
61,Tápiószentmárton,01:01,01:01,01:02,01:02,2,not passed
65,Farmos,01:07,01:07,01:08,01:08,2,not passed
68,Tápiószele,01:12,01:12,01:13,01:13,3,not passed
74,Tápiógyörgye,01:19,01:19,01:20,01:20,4,not passed
84,Újszász,01:29,01:29,01:30,01:30,4,not passed
89,Zagyvarékas,01:35,01:35,01:36,01:36,2,not passed
100,Szolnok,01:46,01:46,,,11,not passed
