Km,Station,Scheduled Arrival,Estimated Arrival,Scheduled Departure,Estimated Departure,Platform,Status
5,Zugló,21:31,21:31,21:32,21:32,2,not passed
11,Kőbánya-Kispest,21:40,21:43,21:41,21:44,4,not passed
18,Ferihegy,21:46,21:49,21:47,21:50,2,not passed
73,Cegléd,22:21,22:23,22:23,22:24,5,not passed
89,Abony,22:33,22:34,22:34,22:35,3,not passed
100,Szolnok,22:45,22:47,22:49,22:55,4,not passed
110,Szajol,22:57,23:04,22:58,23:05,3,not passed
119,Törökszentmiklós,23:04,23:11,23:05,23:12,4,not passed
131,Fegyvernek-Örményes,23:12,23:19,23:13,23:20,3,not passed
146,Kisújszállás,23:22,23:28,23:23,23:29,3,not passed
162,Karcag,23:33,23:39,23:34,23:39,4,not passed
177,Püspökladány / Püspökladány vá. amh.,23:44,23:44,23:49,23:49,-,not passed
188,Kaba vá. amh.,00:05,00:05,00:05,00:05,-,not passed
201,Hajdúszoboszló vá. amh.,00:24,00:24,00:24,00:24,-,not passed
209,Ebes vá. amh.,00:39,00:39,00:39,00:39,-,not passed
221,Debrecen vasútállomás,00:59,00:59,,,-,not passed
