2025-02-02 08:14:55.693 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=553147, elvira_id=7608998_250202 with the newer version.
2025-02-02 08:14:55.987 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=553157, elvira_id=7609055_250202 with the newer version.
2025-02-02 08:14:56.112 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=5531927, elvira_id=7599610_250202.
2025-02-02 08:14:56.403 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5532217, elvira_id=7597500_250202 with the newer version.
2025-02-02 08:14:56.693 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5532232, elvira_id=7596895_250202 with the newer version.
2025-02-02 08:14:56.985 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=553227, elvira_id=7588363_250202 with the newer version.
2025-02-02 08:14:57.269 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5532432, elvira_id=7622275_250202 with the newer version.
2025-02-02 08:14:57.394 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=5532447, elvira_id=7600280_250202.
2025-02-02 08:14:57.520 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=553252, elvira_id=7585727_250202.
2025-02-02 08:14:57.805 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5532612, elvira_id=7599443_250202 with the newer version.
2025-02-02 08:14:58.094 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5532617, elvira_id=7599643_250202 with the newer version.
2025-02-02 08:14:58.393 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5532952, elvira_id=7608335_250202 with the newer version.
2025-02-02 08:14:58.685 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5533036, elvira_id=7597101_250202 with the newer version.
2025-02-02 08:14:58.982 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5533038, elvira_id=7597104_250202 with the newer version.
2025-02-02 08:14:59.260 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5533039, elvira_id=7597482_250202 with the newer version.
2025-02-02 08:14:59.385 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=5533041, elvira_id=7597486_250202.
2025-02-02 08:14:59.676 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5533123, elvira_id=7597480_250202 with the newer version.
2025-02-02 08:14:59.970 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=553332, elvira_id=7598656_250202 with the newer version.
2025-02-02 08:15:00.097 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=553342, elvira_id=7598659_250202.
2025-02-02 08:15:00.387 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=553357, elvira_id=7598804_250202 with the newer version.
2025-02-02 08:15:00.514 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=553367, elvira_id=7598807_250202.
2025-02-02 08:15:00.799 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5534, elvira_id=8016366_250202 with the newer version.
2025-02-02 08:15:01.082 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5534137, elvira_id=7579437_250202 with the newer version.
2025-02-02 08:15:01.209 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=553437, elvira_id=7599112_250202.
2025-02-02 08:15:01.494 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=553452, elvira_id=7582918_250202 with the newer version.
2025-02-02 08:15:01.778 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5534912, elvira_id=7599747_250202 with the newer version.
2025-02-02 08:15:02.064 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5534917, elvira_id=7599866_250202 with the newer version.
2025-02-02 08:15:02.191 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=5535227, elvira_id=7583305_250202.
2025-02-02 08:15:02.479 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=553532, elvira_id=7608948_250202 with the newer version.
2025-02-02 08:15:02.772 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=553537, elvira_id=7621677_250202 with the newer version.
2025-02-02 08:15:03.051 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5535422, elvira_id=8330448_250202 with the newer version.
2025-02-02 08:15:03.178 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=553547, elvira_id=7621676_250202.
2025-02-02 08:15:03.462 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5535517, elvira_id=7597631_250202 with the newer version.
2025-02-02 08:15:03.740 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5535727, elvira_id=7621009_250202 with the newer version.
2025-02-02 08:15:04.025 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5535732, elvira_id=7620978_250202 with the newer version.
2025-02-02 08:15:04.312 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5536012, elvira_id=7620783_250202 with the newer version.
2025-02-02 08:15:04.596 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5536017, elvira_id=7620785_250202 with the newer version.
2025-02-02 08:15:04.869 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5536112, elvira_id=7617829_250202 with the newer version.
2025-02-02 08:15:04.997 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=5536322, elvira_id=7597159_250202.
2025-02-02 08:15:05.126 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=5536327, elvira_id=7597218_250202.
2025-02-02 08:15:05.254 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=5536447, elvira_id=7597413_250202.
2025-02-02 08:15:05.538 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=55367, elvira_id=8019300_250202 with the newer version.
2025-02-02 08:15:05.821 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5536747, elvira_id=7955960_250202 with the newer version.
2025-02-02 08:15:06.102 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5536812, elvira_id=7622260_250202 with the newer version.
2025-02-02 08:15:06.225 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=5537012, elvira_id=7597259_250202.
2025-02-02 08:15:06.509 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5537027, elvira_id=7597315_250202 with the newer version.
2025-02-02 08:15:06.798 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5537117, elvira_id=7600423_250202 with the newer version.
2025-02-02 08:15:07.087 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5537122, elvira_id=7600387_250202 with the newer version.
2025-02-02 08:15:07.371 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5537217, elvira_id=7600323_250202 with the newer version.
2025-02-02 08:15:07.502 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=5537312, elvira_id=7597421_250202.
2025-02-02 08:15:07.789 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5537317, elvira_id=7597460_250202 with the newer version.
2025-02-02 08:15:08.080 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5537320, elvira_id=7597417_250202 with the newer version.
2025-02-02 08:15:08.368 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5537452, elvira_id=7599768_250202 with the newer version.
2025-02-02 08:15:08.655 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5537527, elvira_id=7598671_250202 with the newer version.
2025-02-02 08:15:08.939 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5537627, elvira_id=7950299_250202 with the newer version.
2025-02-02 08:15:09.064 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=5537647, elvira_id=8036705_250202.
2025-02-02 08:15:09.347 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5537727, elvira_id=7598849_250202 with the newer version.
2025-02-02 08:15:09.634 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=55378, elvira_id=8020701_250202 with the newer version.
2025-02-02 08:15:09.912 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5538317, elvira_id=7609930_250202 with the newer version.
2025-02-02 08:15:10.203 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5538727, elvira_id=7950286_250202 with the newer version.
2025-02-02 08:15:10.329 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=553882, elvira_id=8327485_250202.
2025-02-02 08:15:10.456 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=553897, elvira_id=8328850_250202.
2025-02-02 08:15:10.740 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=4339027, elvira_id=7609247_250202 with the newer version.
2025-02-02 08:15:11.022 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5539517, elvira_id=7599746_250202 with the newer version.
2025-02-02 08:15:11.298 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=5539522, elvira_id=7599642_250202 with the newer version.
2025-02-02 08:15:11.582 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=55406, elvira_id=8020712_250201 with the newer version.
2025-02-02 08:15:11.867 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=554147, elvira_id=7622988_250202 with the newer version.
2025-02-02 08:15:12.159 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=554232, elvira_id=8330159_250202 with the newer version.
2025-02-02 08:15:12.286 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=554432, elvira_id=7599973_250202.
2025-02-02 08:15:12.573 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=554457, elvira_id=7599988_250202 with the newer version.
2025-02-02 08:15:12.857 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=554537, elvira_id=7621982_250202 with the newer version.
2025-02-02 08:15:12.989 | INFO     | mav_scraper.slender.slender:info:39 - Adding new schedule for train_number=554542, elvira_id=7619367_250202.
2025-02-02 08:15:13.269 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=55463, elvira_id=8021205_250202 with the newer version.
2025-02-02 08:15:13.558 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=554922, elvira_id=7600016_250202 with the newer version.
2025-02-02 08:15:13.842 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=554927, elvira_id=7600023_250202 with the newer version.
2025-02-02 08:15:14.129 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=554932, elvira_id=7600020_250202 with the newer version.
2025-02-02 08:15:14.423 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=554937, elvira_id=7600035_250202 with the newer version.
2025-02-02 08:15:14.719 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=554942, elvira_id=7600027_250202 with the newer version.
2025-02-02 08:15:15.014 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=555012, elvira_id=7622573_250202 with the newer version.
2025-02-02 08:15:15.310 | INFO     | mav_scraper.slender.slender:info:39 - Replacing previously stored schedule for train_number=555092, elvira_id=7609007_250202 with the newer version.
